text,created_at,context_annotations,predicted_sentiment
how much do i love kamen rider at my work desk i have the zi o iphone cable charger bite keychains of revice on my cubicle wall https t co r4xm9tkhqv,2024-12-03 16:32:06,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10054414590', 'name': '仮面ライダージオウ', 'description': '仮面ライダージオウが、時空を巡る""タイムトラベルライダー""として歴代平成ライダーと出会い、彼らの力と的に共に戦う「最後の平成ライダー」。高校生のソウゴ(奥野壮)は、2068年からやってきたゲイツ(押田岳)、ツクヨミ(大幡しえり)から「50年後""魔王オーマジオウ""となり、世界を支配する」と聞かされ、時空をかける戦いに身を投じていく。\n\n@toei_rider_ZIOさんの画像'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303989823011606528', 'name': 'Tech events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",1
the pants i ordered on september 29 finally shipped today on december 3 fuck u revice you suck so hard ,2024-12-03 15:46:44,[],0
 tsgvoiceover but revice slander balances it out,2024-12-03 15:19:43,[],1
i don t care how good a show is if the main suit looks like gaav or revice just takes me out of it if thats the primary look though shouma is cute https t co 3o5kl95cgm,2024-12-03 15:18:39,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
revice and wizard too ,2024-12-03 14:59:02,[],1
 mushmush__ final form revice ,2024-12-03 13:54:26,[],1
it s really great that kamen rider kuugas henshin phrase seems to be please watch my henshin even though he only says it exactly twice and that during two emotionally heavy moments that define godai as a character and that s why i almost cried at revice lion form ,2024-12-03 13:26:04,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",1
i feel like 4th riders are currently slowly getting there aswell with some seasons having inconclusive quartenaries like 01 saber and revice but there are still seasons that employed the concept of having 4 main riders like agito build exaid geats and etc,2024-12-03 11:33:10,[],1
i forgot that revice was an anniversary season https t co icanljnkfe,2024-12-03 10:12:53,[],0
i was gonna write something else but reading the room i think my actual genuine hot take is that sakura jeanne is the worst main character in revice ikki is right next to her though they just suck https t co eta6grf5ar,2024-12-03 10:00:10,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 zackaitos fr i loved revice and enjoyed ghost and the fandom continuously cries that those shows pissed in their water supply,2024-12-03 04:16:55,[],1
 samueljinx kamen rider revice https t co ive0u4ajoe,2024-12-03 01:20:26,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 autumnzoser catacombsaint_ inarizukarutv japan aint ready for that and who knows when reminder or if you didnt know that sakura jeanne from revice was supposed to be the primary but toei rejected it hard,2024-12-02 23:08:55,[],0
the only reason geats and gotchard are held in high regard because 01 revice ranged from tolerable to dogshit if geats and gotchard were p2 seasons they d just be okay in the community s eyes https t co nblvnv9seq,2024-12-02 22:10:42,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
revice should have used shocker ,2024-12-02 21:57:31,[],0
noooo bruh na slow ibeg just drag small loud den relax a little bit take ur time bro put am 4 revice nuh rush because u nuh fit buy time big wiz ibeg oooo https t co lubtocexu9,2024-12-02 20:52:38,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '884820865740709888', 'name': 'Wizkid', 'description': 'Wizkid'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '884820865740709888', 'name': 'Wizkid', 'description': 'Wizkid'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '884820865740709888', 'name': 'Wizkid', 'description': 'Wizkid'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1362824716570951682', 'name': 'Afrobeats'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1484491704430333955', 'name': 'Nigerian Artistes'}}]",0
 masakisonoue revice is my favourite in general for just so many reasons hanasaku is just a major bonus ,2024-12-02 20:47:58,[],0
 quasarheard the revice driver and the demons one are the only two i care about lol two side blade mode is kinda ugly and jeanne weekend is such nothing,2024-12-02 19:51:30,[],0
shinkenger has a female red but i think we ll get a revice situation as a first red lead before if we even we get a true girl lead revice as in it would be a 2 person lead maybe a boy and a girl https t co uxswoh6dit,2024-12-02 19:00:58,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1248382292176670721', 'name': 'Super Sentai'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248382292176670721', 'name': 'Super Sentai'}}]",0
looking back at the later half of revice i think one of my favorite developments is watching the juxtaposition of the igarashi and karizaki s the closer the the igarashi s become the most destroyed the karizaki s end up and eventually climaxing with the creation of juuga https t co p4u3dhrnzn,2024-12-02 18:48:18,[],1
i hate people who watch revice but only for hanasaku you arent allowed to watch it if u cant appreciate the family stuff too https t co 8nz5rlzpqu,2024-12-02 18:04:29,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",1
 kamen rider revice https t co ajmmxxnhhu,2024-12-02 16:44:41,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 tidywire carnoblue krricrx good to know you re a revice fan now pls draw some revice art,2024-12-02 15:59:18,"[{'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869251595542528', 'name': 'Drawing & illustration', 'description': 'Drawing and sketching'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847869251595542528', 'name': 'Drawing & illustration', 'description': 'Drawing and sketching'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046577790353428480', 'name': 'Visual arts', 'description': 'Visual Arts'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1265660441822281728', 'name': 'Art'}}]",1
 shinmegamijimi revice is good however i think daiji ending arc could ve been paced better and the juuga thing could ve been skipped,2024-12-02 15:01:22,[],0
also revice is way too overhated ,2024-12-02 13:55:05,[],1
also interesting point about w and revice in that they re both billed as having two main heroes but the writing really favors only shotaro ikki over philip vice as the protagonist https t co bwlkzslft5,2024-12-02 13:52:29,[],0
 cbmoviefan didn t know martinez watches revice,2024-12-02 13:02:05,[],0
 battleupsaber this is how i got some of the revice bd dvds really cheap though people only wanted the stamps i however wanted high def blorbos ,2024-12-02 12:15:06,[],0
y all are too harsh on reiwa seasons sometimes it s always gotchard sucks or geats is trash or revice and saber are boring like come on can we have at least a little positivity https t co hy2hbbf8hr,2024-12-02 10:26:51,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 tidywire its peak will be hard to beat revice cuz its just too fuckin peak to me it will probably be equal to it tho for me,2024-12-02 07:58:14,[],1
 zoldafitzgerald that one episode of zero one and that one episode of revice,2024-12-02 07:32:01,[],1
after 38 seasons we finally have all 3 main types of time travel explored in kamen rider rewriting history in kabuto den o zi o amp revice beyond generation predestined loop in kiva amp gotchard alchemist of dawn branch timelines in gotchard with daybreak who then became aod ,2024-12-02 07:30:18,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10054414590', 'name': '仮面ライダージオウ', 'description': '仮面ライダージオウが、時空を巡る""タイムトラベルライダー""として歴代平成ライダーと出会い、彼らの力と的に共に戦う「最後の平成ライダー」。高校生のソウゴ(奥野壮)は、2068年からやってきたゲイツ(押田岳)、ツクヨミ(大幡しえり)から「50年後""魔王オーマジオウ""となり、世界を支配する」と聞かされ、時空をかける戦いに身を投じていく。\n\n@toei_rider_ZIOさんの画像'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 cbmoviefan kamen rider revice mentioned ,2024-12-02 07:28:56,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",0
 g5_almighty being a revice fan in a nutshell,2024-12-02 07:24:33,[],0
